clublink,country
club-03157,United States
club-02692,Wales
club-01994-u17,international
club-01744,Switzerland
club-01464,Switzerland
club-00941,Netherlands
club-01439,Luxembourg
club-01143,Luxembourg
club-02681,Thailand
club-00423,England
club-02073,Ireland
club-03201,Norway
club-02802,Spain
club-00532,England
club-01933-u19,Sweden
club-01649,Iceland
club-03215,Norway
club-01507,Switzerland
club-01357,Denmark
club-00046,Denmark
club-00537,Denmark
club-01052,Scotland
club-01860,Netherlands
club-03366,Netherlands
club-02158,Belgium
club-02139,Belgium
club-03653,Belgium
club-02036,Belgium
club-00699,Belgium
club-01517,Hungary
club-03703,England
club-01126,Bulgaria
club-00556,international
club-00692,Spain
club-02718-ii,Netherlands
club-02454,United States
club-03377,England
club-02460,United States
club-01778,Brazil
club-01530,Brazil
club-01631,Brazil
club-02511,international
club-01842,New Zealand
club-00110,England
club-02077,Kosovo
club-02924,Norway
club-03660,international
club-01715-reserves,Scotland
club-02622,Scotland
club-01053,Scotland
club-00190,Scotland
club-03593,international
club-03385,Ireland
club-02218,Ireland
club-00058,Czech Republic
club-02862,Belgium
club-01317,Denmark
club-02591,Cyprus
club-03228,Scotland
club-01720,Philippines
club-01973,Scotland
club-00165,Qatar
club-01749,Scotland
club-03658,New Zealand
club-01496,England
club-02315,Malta
club-01874,Malta
club-02580,Sweden
club-01931,Sweden
club-02581,United States
club-01500,Switzerland
club-02955,Switzerland
club-01450,Switzerland
club-01507-u18,Switzerland
club-01364,France
club-01688,Angola
club-02964,Portugal
club-00639,Portugal
club-00133-u17,Netherlands
club-02572,Sweden
club-01884,Iceland
club-03220,Iceland
club-01394-u23,England
club-03550,Turkey
club-02038,Turkey
club-01421,North Macedonia
club-02119,Turkey
club-01690,Turkey
club-01916,Netherlands
club-02837-ii,Netherlands
club-02672,England
club-01210,Belgium
club-00825,Belgium
club-01316,Belgium
club-03567,United States
club-02848,Scotland
club-02890,England
club-01371,Portugal
club-00681,Portugal
club-03488,Luxembourg
club-01176,Luxembourg
club-00802,Argentina
club-00140,Denmark
club-00536,Denmark
club-01470,France
club-03031,China
club-02786,Spain
club-00092,Greece
club-03655,New Zealand
club-01295,England
club-00612,England
club-01020,Ireland
club-00363,Greece
club-01854,China
club-00089,Greece
club-03673-reserves,New Zealand
club-03673,Australia
club-02463-u23,England
club-01699,international
club-01760,Scotland
club-01223,England
club-00535,Wales
club-02649,England
club-00848,United States
club-01721,England
club-01286,England
club-00194,England
club-03678,New Zealand
club-00809,Argentina
club-02546,Paraguay
club-00826,Argentina
club-00574,Argentina
club-02559-b,France
club-01035,Scotland
club-02555,Greece
club-00318,Austria
club-00365,Austria
club-00319,Austria
club-00284,Italy
club-02600,Italy
club-00935,international
club-00486,Denmark
club-01379,Austria
club-02771,Thailand
club-00350,Spain
club-03168,Germany
club-00267,Germany
club-00498,Germany
club-00498-u17,Germany
club-02759,Scotland
club-03204,Belgium
club-02823,Belgium
club-02820,Belgium
club-00131,France
club-02052,Belgium
club-00288,France
club-02933,France
club-01372,France
club-00024-u19,Denmark
club-00024-jugend,Denmark
club-02525,Denmark
club-00115-u23,England
club-02459,United States
club-02247,United States
club-03377-u23,England
club-00451,Scotland
club-00879,Scotland
club-02493,United States
club-01237,United States
club-01356-u23,England
club-03025-u19,Ireland
club-00868,Ireland
club-00473-u23,England
club-00226,Scotland
club-03217,Scotland
club-00933,Saudi Arabia
club-00076,Spain
club-01775,China
club-01271,Spain
club-02652,Romania
club-01266,Spain
club-02683,Romania
club-01174,England
club-02869,Belgium
club-02869-u21,Belgium
club-03338,Wales
club-01239,England
club-00993,France
club-02870,Belgium
club-02154,Belgium
club-02156,Belgium
club-02795,Spain
club-01465,Spain
club-01715,Scotland
club-01829,Jamaica
club-00716,Romania
club-02060,Turkey
club-01784,China
club-00168,United Arab Emirates
club-02150,Russia
club-02010,China
club-00300,Romania
club-00149,Qatar
club-03491,Romania
club-03698,Poland
club-01429,Romania
club-02711,Romania
club-01845,Denmark
club-02023,Finland
club-02471,international
club-01103,Nigeria
club-02430,Nigeria
club-01698,Malta
club-00461,England
club-01163,Finland
club-03213,Belgium
club-02883,United States
club-02043,international
club-03369-ii,United States
club-03369,United States
club-01058,New Zealand
club-02439,Netherlands
club-00167,Qatar
club-02779,Belgium
club-00157,Qatar
club-01288,Finland
club-00491,Germany
club-03391,Thailand
club-01026,England
club-02664,United States
club-02543,United States
club-03513,Italy
club-00626,Italy
club-00593,Italy
club-02370,Italy
club-01202,Italy
club-00051,Italy
club-01970,Italy
club-02680,international
club-02549,Poland
club-03755,Poland
club-02674,Poland
club-03049,Russia
club-03737,Poland
club-03699,Poland
club-02184,Poland
club-01733,Poland
club-02685,Poland
club-02189,Poland
club-02666,Poland
club-02678,Poland
club-02124,Poland
club-03689,Poland
club-01489,England
club-02892,England
club-01203,England
club-00841,Ireland
club-00516,England
club-02971,England
club-01299,Wales
club-00693-reserves,Scotland
club-00893-u23,England
club-02467,Wales
club-01061,England
club-00869,Ireland
club-03224-u23,England
club-03219,Scotland
club-01150,England
club-00434,Israel
club-00887,England
club-01831,England
club-03702,Australia
club-00523,Ireland
club-03175,Italy
club-01658-u17,Italy
club-02264,Italy
club-01642,Canada
club-01929,Sweden
club-02560,France
club-00295,France
club-01131,Singapore
club-01957,Colombia
club-01761,Scotland
club-00417,Wales
club-02071,India
club-01923,Iceland
club-00982,Ireland
club-01879,England
club-02651,Scotland
club-02062,Malaysia
club-03294,Australia
club-03293,Australia
club-00026,Denmark
club-02272,Denmark
club-02448,Norway
club-02253,Norway
club-01670,Norway
club-03185,England
club-02584,England
club-02894,Italy
club-01531,Ireland
club-01022,India
club-00148,United Arab Emirates
club-03073,Czech Republic
club-03073-u19,Czech Republic
club-01133,Gibraltar
club-02230,Sweden
club-01703,Sweden
club-03014,Germany
club-03019,Germany
club-00745,United States
club-02770-u19,Germany
club-02770-u17,Germany
club-03292-u21,Australia
club-02789,India
club-02389,Scotland
club-01091,Scotland
club-01261,England
club-01495,England
club-03472,Iceland
club-02035,Iceland
club-00133-u18,Netherlands
club-02777,Netherlands
club-01211,Gibraltar
club-00730,England
club-01039,Northern Ireland
club-01185,Spain
club-02899,United States
club-00203-u21,Netherlands
club-00855,Italy
club-02183,Poland
club-01522,Netherlands
club-00388-ii,Netherlands
club-00388-u17,Netherlands
club-00388,Netherlands
club-03675-u23,England
club-01740,Wales
club-01841,Wales
club-01027,Scotland
club-00892,Northern Ireland
club-00778,Northern Ireland
club-01651,international
club-02032,Italy
club-02539,France
club-00785,Uruguay
club-00582,Uruguay
club-00811,Paraguay
club-00829,Paraguay
club-00832,Paraguay
club-02607,Greece
club-02770,Germany
club-02865,Belgium
club-01398,Luxembourg
club-03258,Germany
club-01664,Germany
club-01522-u19,Netherlands
club-02743,Netherlands
club-00192-u17,Germany
club-03150,Germany
club-02936,Germany
club-00150,Qatar
club-02992,United States
club-02005,"Korea, South"
club-00733,China
club-03095,Ireland
club-01677,Ireland
club-00866,Brazil
club-00888,Brazil
club-00836,Brazil
club-00023,Brazil
club-01753,Brazil
club-00351,Brazil
club-02917,Brazil
club-01118,Brazil
club-01409,Brazil
club-03576,Brazil
club-00504,Brazil
club-00783,Brazil
club-01997,Brazil
club-00549,Scotland
club-00231,Guatemala
club-02918,Guatemala
club-02273,Australia
club-03286,South Africa
club-03401,South Africa
club-00472,South Africa
club-00416,South Africa
club-01794,Vietnam
club-02507,United States
club-00729,United States
club-03628,Netherlands
club-00987,Netherlands
club-02837,Netherlands
club-03502,Scotland
club-01991,Turkey
club-03380,Turkey
club-02468,international
club-02965,Netherlands
club-00520,international
club-01524,Iceland
club-01987,international
club-03103,Norway
club-00837,Brazil
club-01408,Brazil
club-01456-u21,Netherlands
club-03085,Austria
club-02171,Austria
club-01311,Austria
club-00137-u18,Austria
club-00776-b,France
club-02864,Belgium
club-02862-u21,Belgium
club-00159,Saudi Arabia
club-00505,Brazil
club-00821,Paraguay
club-02730,Egypt
club-00800,Argentina
club-00792,Argentina
club-00401,Northern Ireland
club-00399,Northern Ireland
club-01514,Turkey
club-02620,Italy
club-01417,Spain
club-00304,Italy
club-00915,France
club-02313,South Africa
club-00752,South Africa
club-02576,South Africa
club-01114,Sweden
club-01861-u21,Sweden
club-02765,Norway
club-00544,Norway
club-02414,Netherlands
club-00192,Germany
club-03613,Norway
club-01014,Austria
club-03553,Switzerland
club-01463,Switzerland
club-02855,Austria
club-01159,Switzerland
club-02938,Switzerland
club-01165,Switzerland
club-02980,Austria
club-03230,Norway
club-02216,Norway
club-01635,Norway
club-02394,Norway
club-00790,Argentina
club-00646,Chile
club-01822,Israel
club-01825,Israel
club-01826,Israel
club-01446,France
club-02270,France
club-01650,Italy
club-01771,Italy
club-02385,Uruguay
club-00576,Uruguay
club-00976,Uruguay
club-00273,Ukraine
club-00035,France
club-00798,Argentina
club-02744,Argentina
club-00815,Argentina
club-00807,Argentina
club-02749,Argentina
club-00665,Chile
club-00808,Argentina
club-02752,Luxembourg
club-03253,Germany
club-01199,Luxembourg
club-00349,Andorra
club-00578,Argentina
club-00637,Spain
club-03437,Spain
club-00198,Spain
club-01522-u17,Netherlands
club-03133-u19,Netherlands
club-00962,Mexico
club-02790,Spain
club-01348,Spain
club-01260,Portugal
club-02372,Hungary
club-00049,Italy
club-00049-u19,Italy
club-03526,France
club-00122,Italy
club-00054-u19,Italy
club-00905,Italy
club-00748,Italy
club-00070,Italy
club-02913,Italy
club-00881,Algeria
club-00575,Algeria
club-02024,Algeria
club-00336,France
club-03100,France
club-00173,Qatar
club-00719,France
club-02248,France
club-02984,Spain
club-00530,Australia
club-02307,Australia
club-00567,England
club-00512,England
club-02904,United States
club-02780,France
club-03608,Germany
club-01871,Germany
club-01078,Germany
club-03603,Germany
club-00736,Bulgaria
club-01803,Norway
club-03207,France
club-02308,France
club-01433,France
club-03521,France
club-00797,Argentina
club-00261,Argentina
club-00816,Argentina
club-02827,Wales
club-02565,Cyprus
club-01335-u23,England
club-00586,Ireland
club-01641,Scotland
club-02690,Thailand
club-00269,Thailand
club-01587,Azerbaijan
club-01419,United Arab Emirates
club-01422,Switzerland
club-00328-u23,England
club-02065,Malaysia
club-00250,Cyprus
club-02288,England
club-00154,Saudi Arabia
club-00183,Saudi Arabia
club-02604,Greece
club-00249,Cyprus
club-03034,United Arab Emirates
club-02612,Greece
club-01952,Greece
club-00242,Greece
club-03595,Greece
club-02535,Greece
club-00203,Netherlands
club-00084,Australia
club-02952,Netherlands
club-01168,Spain
club-01280-u21,Netherlands
club-02967,Netherlands
club-02266,Northern Ireland
club-03727,Japan
club-02532,India
club-03043,Japan
club-00126,Sweden
club-03624,Japan
club-02026,Japan
club-01476,Romania
club-00102,Romania
club-00589,Italy
club-02624,Greece
club-00252,Greece
club-01341,Italy
club-00589-u19,Italy
club-00294,Italy
club-00054,Italy
club-01621,Brazil
club-02696,United States
club-01459,Switzerland
club-03571,North Macedonia
club-02343,North Macedonia
club-03556,Sweden
club-03375,Sweden
club-00561,Thailand
club-02081,Albania
club-01722-ii,Croatia
club-02488,Bosnia-Herzegovina
club-01397,Latvia
club-01902,North Macedonia
club-03257,Austria
club-03257-ii,Austria
club-03159-b,Portugal
club-02856,Serbia
club-01583,Serbia
club-02435,Slovenia
club-01588,Serbia
club-01549,Serbia
club-01619,Serbia
club-01597,Serbia
club-01543,Serbia
club-01502,England
club-03108,England
club-00852,United States
club-01809,Sweden
club-03738,Poland
club-02358-u19,Poland
club-02189-ii,Poland
club-02676,Poland
club-03459,France
club-01359,France
club-01282,France
club-00709-u20,Mexico
club-02157,Iceland
club-01897,Norway
club-02271,Norway
club-03596,Iceland
club-00571,Argentina
club-00684,Chile
club-01275,France
club-00293,France
club-02819,Belgium
club-02811,France
club-02735,China
club-01449,Sweden
club-01930,Sweden
club-03275,Germany
club-01240,Germany
club-01251,Netherlands
club-01462,Netherlands
club-02215,Belgium
club-01483,Netherlands
club-01246,Netherlands
club-02063,Iceland
club-02272-u19,Denmark
club-02766,Denmark
club-02110,Denmark
club-01892,Denmark
club-01148,international
club-02553,Denmark
club-01861,Sweden
club-00222,Sweden
club-01144,Sweden
club-01987-u21,international
club-03349,Iceland
club-01669,Iceland
club-00944,Argentina
club-00786,Argentina
club-01198,Austria
club-03261,Austria
club-01082,Egypt
club-01083,Egypt
club-01636,Iran
club-02922,Mexico
club-03159,Portugal
club-00710,Portugal
club-03742,Egypt
club-00634,Colombia
club-01375,Portugal
club-00158,Saudi Arabia
club-00152,Saudi Arabia
club-00169,Saudi Arabia
club-00443-b,Portugal
club-02695,Portugal
club-01687,Portugal
club-01840,England
club-03244,England
club-02345,Hongkong
club-01015,Hongkong
club-01939,Sweden
club-00382,Japan
club-02509,Australia
club-02101,England
club-01031,Ireland
club-01134,Gibraltar
club-03348,Iceland
club-00316,Norway
club-03030,China
club-02031,Spain
club-01722,Croatia
club-01886,Croatia
club-02487,Croatia
club-00179,Qatar
club-03002,Iran
club-02489,Croatia
club-02490,Croatia
club-01512,Romania
club-02611,Greece
club-01769,Greece
club-00143,Greece
club-00239,Greece
club-01511,Romania
club-00199,Cyprus
club-01206,Romania
club-02961,Romania
club-01029,Romania
club-00072,Romania
club-02768,Moldova
club-01245-ii,Romania
club-02598,Hungary
club-03740,Hungary
